hostname,ip,mac,operating_system,ram_gb,cpu_cores,department,environment,owner
srv-management-0216,10.123.3.198,bc:06:85:73:b7:81,Rocky Linux 9,2,8,Management,development,Alondra Carpio-Conde
srv-finance-0217,10.18.174.46,e4:cd:d8:48:32:83,Rocky Linux 9,64,8,Finance,testing,Roberta García Roda
srv-operations-0218,10.249.38.185,ba:9c:12:46:f7:d2,Windows Server 2019,8,4,Operations,development,María Luisa Tamarit Cerezo
srv-finance-0219,10.182.123.51,92:f4:5d:8b:40:95,Windows Server 2012,32,16,Finance,development,Natividad Manuela Alonso Salamanca
srv-it-0220,10.61.184.220,c6:82:1e:47:89:9c,Ubuntu Server 22.04,8,16,IT,development,Elpidio del Seco
srv-development-0221,10.103.137.102,7e:f6:ea:e2:cd:3c,Windows Server 2016,64,16,Development,testing,Cruz Francisco Rosa
srv-security-0222,10.53.54.73,6c:e1:d1:57:21:6c,Ubuntu Server 22.04,16,16,Security,production,Hugo Ramón Sanz
srv-finance-0223,10.54.165.211,f0:97:1b:01:02:26,Debian 12,4,4,Finance,testing,Germán Vizcaíno Samper
srv-management-0224,10.214.74.226,e4:92:17:c7:96:5c,Windows Server 2016,8,4,Management,development,Liliana Lucena Sotelo
srv-finance-0225,10.167.123.147,10:23:56:83:d8:a6,Ubuntu Server 24.04,32,2,Finance,testing,Jacobo Águila Téllez
srv-management-0226,10.170.135.221,c4:fa:48:52:9a:21,Ubuntu Server 22.04,16,4,Management,production,Miguela Uriarte Barón
srv-it-0227,10.215.8.171,92:a9:07:6f:54:81,Ubuntu Server 24.04,2,2,IT,staging,Perla Pedraza Almeida
srv-it-0228,10.231.62.135,f2:35:c9:91:71:2d,Windows Server 2019,4,8,IT,testing,Carla de Barriga
srv-it-0229,10.43.111.121,92:b4:b9:74:76:0f,Windows Server 2012,32,4,IT,production,Malena Piquer
srv-management-0230,10.244.234.164,20:eb:66:0d:2f:1e,Windows Server 2022,16,4,Management,production,Rosaura Reguera-Marti
srv-hr-0231,10.33.80.100,8c:75:50:0b:2f:ce,Windows Server 2019,16,2,HR,production,Bernardino de Hervás
srv-development-0232,10.1.156.63,6a:ea:e7:5d:b9:8a,Ubuntu Server 24.04,64,16,Development,development,Dolores Solís Planas
srv-hr-0233,10.13.17.227,a2:f3:d3:38:1a:10,Ubuntu Server 24.04,64,4,HR,production,Andrés Castellanos
srv-operations-0234,10.39.189.66,42:0b:cc:bb:9c:2b,Ubuntu Server 22.04,4,8,Operations,staging,Hortensia Porcel-Carbajo
srv-management-0235,10.213.143.236,d4:d7:d9:0c:0b:d3,Rocky Linux 9,8,4,Management,testing,Cristian Bárcena Villanueva
srv-operations-0236,10.28.235.102,94:34:10:46:ea:6b,Windows Server 2012,8,4,Operations,production,Ema Elías Cerdán
srv-finance-0237,10.89.225.173,c2:2a:91:40:b3:63,Ubuntu Server 24.04,64,16,Finance,production,Ximena Bustamante Noriega
srv-management-0238,10.207.55.111,9e:6c:e4:84:4f:43,Ubuntu Server 22.04,2,4,Management,testing,Manuela Manso Gibert
srv-security-0239,10.163.155.159,9c:a9:1a:4b:cf:de,Ubuntu Server 24.04,64,2,Security,production,Iris Arroyo Colom
srv-hr-0240,10.57.136.40,52:30:b1:95:0d:69,Ubuntu Server 22.04,64,16,HR,testing,Espiridión Marc Hoz Campillo
srv-management-0241,10.37.123.47,46:d1:ec:85:27:92,Windows Server 2022,8,8,Management,production,Alejandra Roldan Cáceres
srv-management-0242,10.191.135.211,98:63:1f:00:a2:a5,Ubuntu Server 24.04,2,16,Management,testing,Lucila Pintor Quiroga
srv-it-0243,10.135.85.67,74:b0:9c:f7:6b:18,Windows Server 2022,2,4,IT,development,Albano Eduardo Farré Jordán
srv-finance-0244,10.133.1.85,f0:1d:37:0a:ba:65,Windows Server 2019,32,8,Finance,testing,Edmundo Beltrán
srv-management-0245,10.164.110.225,84:99:96:d7:97:9b,Ubuntu Server 22.04,4,16,Management,development,Segismundo Jordán León
srv-operations-0246,10.244.124.92,a0:22:9d:cd:af:99,Ubuntu Server 22.04,2,16,Operations,staging,Hector Carlos Marcos
srv-finance-0247,10.251.2.99,ac:3c:45:73:7a:a1,Debian 12,16,4,Finance,staging,Eugenio Balduino Donoso Cuéllar
srv-management-0248,10.170.134.136,f4:9c:19:d2:68:cc,Windows Server 2016,16,4,Management,staging,Emilio Timoteo Luís Barrio
srv-security-0249,10.197.126.75,8e:fc:d9:10:87:6d,Windows Server 2022,2,4,Security,development,Tito García
srv-security-0250,10.92.192.191,1c:1e:90:fa:20:13,Debian 12,16,8,Security,staging,Edgardo Guadalupe Huguet Tapia
srv-development-0251,10.79.86.151,72:ef:37:b7:da:60,Debian 12,32,4,Development,testing,Luisa Valentín Puente
srv-hr-0252,10.22.5.96,88:e8:45:b2:cc:91,Rocky Linux 9,32,4,HR,development,Amor Griselda Lumbreras Luís
srv-hr-0253,10.47.97.154,2c:9b:48:2d:32:6d,Ubuntu Server 24.04,32,16,HR,production,Damián Casares Mendez
srv-hr-0254,10.110.156.61,24:89:f3:78:33:01,Rocky Linux 9,64,2,HR,staging,Charo Aller Amores
srv-management-0255,10.67.54.102,0a:f0:a1:db:df:95,Ubuntu Server 22.04,32,8,Management,staging,Luisa Cabello
srv-it-0256,10.219.27.78,28:23:be:02:90:8e,Windows Server 2019,8,8,IT,staging,Eva María Sabater Estevez
srv-management-0257,10.67.130.146,7a:da:0d:59:b3:6e,Windows Server 2012,4,8,Management,production,Sebastián Ruben Rosa Mancebo
srv-operations-0258,10.128.202.142,0c:84:55:60:ea:96,Ubuntu Server 24.04,4,2,Operations,testing,Miguela Franch Páez
srv-operations-0259,10.45.225.78,20:7d:33:3a:7f:e4,Rocky Linux 9,2,16,Operations,production,Amor Canet Cuadrado
srv-hr-0260,10.174.216.109,48:2d:4d:5f:ae:0d,Windows Server 2019,2,2,HR,staging,Eva Ríos
srv-security-0261,10.173.238.45,f4:dd:36:fc:b1:37,Debian 12,8,8,Security,testing,Zacarías Cueto Isern
srv-development-0262,10.37.3.35,4a:7e:20:c0:e0:7e,Ubuntu Server 22.04,64,16,Development,development,Agapito García Pozuelo
srv-hr-0263,10.231.220.9,ca:8c:b1:7e:d3:99,Rocky Linux 9,4,4,HR,testing,Estrella Fuster Vicens
srv-development-0264,10.241.200.206,56:d9:b5:17:36:c3,Windows Server 2016,2,8,Development,production,Silvio Rebollo Tirado
srv-it-0265,10.171.121.145,82:00:b2:e8:75:4f,Debian 12,32,2,IT,staging,Trinidad del Cabezas
srv-management-0266,10.221.69.88,5e:59:f7:c8:ac:20,Windows Server 2019,64,8,Management,testing,Alonso Giner
srv-finance-0267,10.103.107.223,c6:0f:c6:e6:c8:3c,Rocky Linux 9,2,4,Finance,testing,Azucena Montalbán Cornejo
srv-finance-0268,10.40.191.63,ba:b3:c8:1a:68:17,Windows Server 2012,64,8,Finance,production,Marcia de Palacios
srv-hr-0269,10.163.216.238,f6:ad:05:71:b9:ac,Debian 12,8,2,HR,production,Marcelino Olivera Juliá
srv-development-0270,10.174.100.59,88:d3:ca:95:1b:ce,Rocky Linux 9,4,16,Development,testing,Cruz Cervantes
srv-security-0271,10.51.239.118,8c:3e:7f:62:f4:bf,Windows Server 2016,4,2,Security,production,Marcela Palau Portero
srv-operations-0272,10.183.165.62,4a:b3:2d:9b:b3:9d,Windows Server 2019,16,4,Operations,testing,Blas Borrego Arnau
srv-hr-0273,10.162.15.164,4c:3f:00:16:4f:d2,Debian 12,16,2,HR,development,Zoraida Garrido Guzmán
srv-development-0274,10.123.12.79,94:c4:cb:61:5d:e1,Rocky Linux 9,64,8,Development,staging,Evaristo Alcolea-Casanova
srv-hr-0275,10.241.164.250,1e:29:3c:c7:fe:34,Windows Server 2019,8,4,HR,development,Jose Carlos Leonardo Bustamante Pedraza
srv-management-0276,10.141.133.149,56:53:28:c2:d5:f9,Ubuntu Server 22.04,64,4,Management,staging,Ulises Molins Gomis
srv-operations-0277,10.77.210.113,26:e8:69:2b:cc:80,Ubuntu Server 22.04,32,16,Operations,testing,Emperatriz Jimenez
srv-operations-0278,10.63.171.79,d6:12:b1:3b:fa:9a,Windows Server 2012,2,2,Operations,testing,Jaime del Cañizares
srv-development-0279,10.8.242.224,50:4c:d8:0b:4c:e0,Windows Server 2016,4,4,Development,development,Ileana Salas Cal
srv-operations-0280,10.225.85.138,de:ac:d0:ea:5b:a1,Windows Server 2022,2,16,Operations,production,Vinicio Bonifacio Raya Pujol
srv-development-0281,10.187.3.34,68:ad:51:1a:00:43,Ubuntu Server 24.04,2,4,Development,production,Sara Guitart Codina
srv-operations-0282,10.246.59.31,7a:38:70:39:69:cb,Windows Server 2019,4,2,Operations,testing,Buenaventura Gimeno Arco
srv-hr-0283,10.82.151.81,d2:4e:f4:11:2f:e6,Debian 12,32,4,HR,staging,Ibán Velázquez Yuste
srv-development-0284,10.4.246.91,68:49:0f:69:aa:6f,Rocky Linux 9,2,16,Development,production,Carolina Villaverde Benavent
srv-it-0285,10.219.231.22,9c:bc:db:16:95:8a,Ubuntu Server 22.04,16,16,IT,production,Edelmiro Ferrer Azcona
srv-security-0286,10.220.167.235,f2:64:fa:c9:9c:ad,Ubuntu Server 24.04,8,2,Security,production,Fausto Pedrosa Alonso
srv-hr-0287,10.42.225.133,b6:c2:cf:71:4a:29,Windows Server 2016,8,8,HR,production,Griselda Bibiana Ródenas Llano
srv-development-0288,10.130.33.76,f8:e3:b8:3c:39:6d,Ubuntu Server 24.04,8,4,Development,development,Casemiro de Alberola
srv-management-0289,10.175.61.4,64:fa:e0:45:1e:2c,Windows Server 2019,4,4,Management,testing,Encarna Salmerón-Ugarte
srv-operations-0290,10.153.52.28,12:b3:0c:eb:7c:54,Ubuntu Server 22.04,4,8,Operations,testing,Delfina Juliá Adadia
srv-operations-0291,10.163.143.119,74:29:2a:4b:ba:51,Windows Server 2016,2,16,Operations,staging,Asunción Carranza Jara
srv-security-0292,10.33.111.183,14:ef:31:73:81:a5,Rocky Linux 9,4,16,Security,staging,Haydée Mirta Colom Alcaraz
srv-management-0293,10.37.69.200,9c:98:cb:7c:b7:2a,Windows Server 2016,64,16,Management,production,Reyna Ochoa Montoya
srv-hr-0294,10.145.69.227,54:09:60:b1:27:6c,Windows Server 2012,64,16,HR,testing,Rosaura Luján Báez
srv-hr-0295,10.221.60.55,4c:4f:b3:c6:fe:45,Windows Server 2016,32,8,HR,staging,Viviana Posada Gomez
srv-operations-0296,10.255.202.105,bc:f1:8c:83:28:df,Debian 12,16,4,Operations,development,José Luis Díez Iñiguez
srv-management-0297,10.25.98.172,06:42:0e:0b:c6:bd,Debian 12,32,8,Management,development,Saturnina Palomar
srv-security-0298,10.92.169.185,84:90:6c:60:a4:cf,Windows Server 2019,64,2,Security,production,Ignacio Guillen Rincón
srv-management-0299,10.245.104.223,7a:e0:bc:b5:2c:6b,Windows Server 2012,16,2,Management,development,Luisina Tapia Manrique
srv-development-0300,10.2.216.195,e6:91:5d:43:fd:d9,Windows Server 2016,16,16,Development,testing,Juan Pablo Díaz Sabater
srv-development-0301,10.213.46.146,2a:e4:cc:8d:0a:57,Windows Server 2022,8,2,Development,staging,Abel Jose Ramón Delgado Diego
srv-finance-0302,10.98.75.236,f4:e8:29:48:f1:8c,Ubuntu Server 24.04,2,8,Finance,production,Graciana Díez Fortuny
srv-operations-0303,10.41.14.102,62:cc:0c:55:e9:01,Rocky Linux 9,16,16,Operations,development,Jeremías Pelayo Gutierrez
srv-hr-0304,10.186.218.230,54:07:ac:47:49:08,Windows Server 2019,2,2,HR,development,Félix Ros Garzón
srv-security-0305,10.185.136.76,38:d5:ef:e7:dc:5d,Windows Server 2019,16,16,Security,staging,José Mari Farré-Polo
srv-finance-0306,10.208.17.244,28:34:ae:05:80:a8,Ubuntu Server 24.04,2,4,Finance,staging,Celestina Cases Espejo
srv-security-0307,10.53.171.193,76:0f:e4:30:9d:77,Windows Server 2016,64,8,Security,development,Pacífica Viña-Guijarro
srv-hr-0308,10.22.121.46,7e:1b:1d:2f:1f:70,Ubuntu Server 22.04,16,2,HR,development,Nicanor Hurtado Ocaña
srv-security-0309,10.235.74.189,14:f7:10:2e:f5:4d,Ubuntu Server 22.04,4,8,Security,production,Dalila Cueto Lago
srv-development-0310,10.253.57.47,58:10:17:ad:f3:3d,Windows Server 2012,2,16,Development,staging,Jaime Arellano-Neira
srv-finance-0311,10.152.61.73,8c:3f:2c:2a:d7:72,Debian 12,32,8,Finance,testing,Roberta del Amorós
srv-hr-0312,10.123.164.217,cc:f9:27:d4:ac:1b,Windows Server 2022,16,16,HR,development,Francisca Jaume Manrique
srv-development-0313,10.18.171.203,50:16:e3:8e:ca:df,Ubuntu Server 22.04,4,16,Development,testing,Belen Miró Jover
srv-management-0314,10.251.181.142,80:de:42:6b:0a:46,Windows Server 2019,16,2,Management,production,Efraín Peñalver Falcón
srv-hr-0315,10.129.63.226,22:dc:9e:dd:ba:ca,Windows Server 2016,8,4,HR,production,Ramón Parejo Granados
srv-development-0316,10.17.224.63,a6:d8:92:7f:1a:e0,Ubuntu Server 22.04,2,2,Development,testing,Feliciana Alberto Barón
srv-operations-0317,10.124.204.2,2a:68:5a:ef:47:1b,Windows Server 2012,64,16,Operations,development,Lorenzo Figuerola Carretero
srv-it-0318,10.25.250.240,44:7d:76:09:2a:da,Windows Server 2019,2,4,IT,staging,Rosalinda Arias Vallés
srv-development-0319,10.27.213.34,ec:ca:67:c0:19:2d,Rocky Linux 9,16,16,Development,testing,Saturnina Bernat
srv-management-0320,10.222.78.27,72:f0:67:75:96:3e,Windows Server 2016,8,2,Management,testing,Laura Valle-Expósito
srv-security-0321,10.253.8.228,32:c9:1f:62:2b:83,Windows Server 2012,8,16,Security,staging,Héctor Calleja Luís
srv-development-0322,10.230.34.246,54:ea:4a:0e:71:5d,Ubuntu Server 22.04,4,4,Development,staging,Carina Gonzalo
srv-operations-0323,10.252.3.125,46:f7:38:20:89:02,Ubuntu Server 24.04,2,4,Operations,development,Godofredo Peral Cañizares
srv-security-0324,10.174.76.161,80:de:6f:cf:c7:47,Windows Server 2022,8,4,Security,testing,Eric Ros Miguel
srv-finance-0325,10.237.119.22,40:c3:6e:3f:35:81,Ubuntu Server 24.04,16,4,Finance,testing,Gabriel Segismundo Cervera Rius
srv-finance-0326,10.148.232.5,ce:10:fc:ea:33:7d,Windows Server 2016,64,2,Finance,staging,Marco Cervantes
srv-security-0327,10.6.142.158,fc:23:0c:d3:b0:85,Ubuntu Server 24.04,2,4,Security,testing,Toribio Grau Pou
srv-development-0328,10.188.229.139,a4:18:98:81:4c:4f,Windows Server 2019,2,8,Development,staging,Belen Mercader Suárez
srv-it-0329,10.188.212.157,1e:42:35:9e:be:a6,Windows Server 2012,2,2,IT,staging,Santos Casanova
srv-development-0330,10.13.45.97,c0:0c:d7:c8:e8:eb,Windows Server 2022,4,8,Development,development,Remigio Pardo Toro
srv-management-0331,10.179.158.187,1a:04:ae:62:cd:f7,Windows Server 2016,4,4,Management,production,Aura Marco Ferreras
srv-it-0332,10.169.20.245,b8:89:27:f5:76:c8,Windows Server 2016,64,8,IT,production,Goyo Merino
srv-management-0333,10.141.114.243,46:67:c8:be:bf:f0,Windows Server 2012,64,8,Management,production,Reinaldo Collado Marquez
srv-finance-0334,10.212.69.6,e0:48:51:9e:e0:c9,Windows Server 2019,32,8,Finance,testing,Amparo Almagro
srv-finance-0335,10.124.92.165,b0:92:af:1f:3d:6f,Ubuntu Server 22.04,32,8,Finance,production,Coral Arrieta Beltran
srv-management-0336,10.24.13.229,92:83:70:0a:91:76,Windows Server 2019,64,8,Management,development,Carmelita de Carvajal
srv-security-0337,10.59.4.162,2a:e7:9a:d6:20:11,Windows Server 2016,16,2,Security,staging,Jacobo del España
srv-it-0338,10.38.36.211,58:d1:64:29:d0:3f,Ubuntu Server 22.04,2,8,IT,production,Ruy Egea Martínez
srv-security-0339,10.22.177.96,1a:26:a2:68:c4:83,Windows Server 2016,4,8,Security,production,Amanda Jimenez Arroyo
srv-security-0340,10.132.199.224,ae:d2:3f:55:c0:f4,Rocky Linux 9,4,16,Security,production,Martín Ignacio Saez Jáuregui
srv-it-0341,10.23.101.115,32:3d:de:5b:d6:58,Windows Server 2019,4,4,IT,testing,Ámbar Sacristán Arnaiz
srv-it-0342,10.142.237.150,16:24:d5:28:65:fa,Rocky Linux 9,8,4,IT,production,Tamara Galan Amorós
srv-management-0343,10.14.253.143,b6:5f:f6:6c:eb:1f,Rocky Linux 9,16,4,Management,production,Elba Paredes Manzano
srv-it-0344,10.203.243.117,5c:08:22:65:c8:c1,Rocky Linux 9,32,8,IT,testing,Brunilda Olivia Cal Benito
srv-security-0345,10.1.38.29,e2:60:fe:7b:71:25,Ubuntu Server 22.04,16,2,Security,production,Zacarías Canales Mendizábal
srv-hr-0346,10.174.60.96,76:c7:59:d5:8b:1f,Windows Server 2022,32,8,HR,production,Cristian Giralt Leal
srv-hr-0347,10.86.178.123,30:f8:71:7d:52:2a,Windows Server 2019,8,2,HR,production,Inmaculada Juliá Salmerón
srv-development-0348,10.175.209.136,de:ad:dc:8f:c6:e2,Windows Server 2019,32,16,Development,production,Alex Salvador Plaza
srv-finance-0349,10.251.168.22,22:99:fd:59:63:69,Windows Server 2022,8,2,Finance,production,Claudia Tovar-Arana
srv-finance-0350,10.108.141.172,ce:25:d8:fe:90:47,Rocky Linux 9,2,4,Finance,production,Amaro Bosch Guijarro
srv-security-0351,10.16.8.234,4e:d7:0c:aa:a6:35,Windows Server 2019,2,8,Security,development,Luis Miguel Quiroga
srv-it-0352,10.129.190.48,94:f1:5e:46:d0:27,Windows Server 2016,64,16,IT,staging,Leonel Medina Llobet
srv-security-0353,10.134.231.15,4e:a3:2b:ec:f7:9a,Debian 12,8,16,Security,staging,Jovita Amada Requena Llamas
srv-operations-0354,10.71.234.226,e6:90:e7:fc:b2:5f,Windows Server 2016,2,2,Operations,testing,Herminio Miguel Acevedo Aragón
srv-security-0355,10.184.207.145,82:da:db:55:18:51,Windows Server 2016,64,16,Security,testing,Dorotea Oller
srv-hr-0356,10.51.53.43,1c:66:d8:45:df:69,Ubuntu Server 24.04,2,2,HR,development,Kike Felipe Aparicio Martín
srv-finance-0357,10.10.139.89,6c:05:1c:af:c7:46,Windows Server 2022,8,4,Finance,production,Jorge Bernabé Urrutia Pombo
srv-security-0358,10.226.60.189,72:91:25:90:f9:e3,Windows Server 2016,32,4,Security,staging,Amor Atienza Teruel
srv-finance-0359,10.71.247.80,68:70:cb:e0:aa:ae,Ubuntu Server 24.04,8,8,Finance,staging,Bibiana Moll-Ferrer
srv-finance-0360,10.65.175.125,e4:53:a9:d3:0f:cd,Ubuntu Server 24.04,64,16,Finance,production,Abilio Cabrera Echeverría
srv-security-0361,10.222.7.12,c2:ed:88:13:c1:45,Windows Server 2016,4,4,Security,development,Margarita Boada Mesa
srv-finance-0362,10.62.167.128,90:97:19:25:80:d5,Windows Server 2012,2,8,Finance,testing,Vasco Ribas Patiño
srv-development-0363,10.222.97.80,ec:63:8a:f9:90:de,Ubuntu Server 24.04,8,4,Development,production,León Valle Guillen
srv-development-0364,10.30.185.156,a0:3a:e9:13:e2:1a,Rocky Linux 9,32,2,Development,staging,Florentina de Montesinos
srv-management-0365,10.111.120.71,9e:22:2c:7d:80:d9,Ubuntu Server 24.04,2,16,Management,staging,Gregorio del Arnaiz
srv-operations-0366,10.12.110.133,e4:e0:5e:d9:5e:52,Windows Server 2019,32,16,Operations,testing,Modesta Obdulia Verdú Boada
srv-operations-0367,10.218.230.79,3e:10:93:60:13:37,Windows Server 2019,64,2,Operations,production,Darío de Cabello
srv-security-0368,10.202.193.51,d0:9f:ad:2c:aa:99,Ubuntu Server 22.04,64,2,Security,staging,Elvira Sabater Cabrera
srv-management-0369,10.29.197.69,b6:04:b0:3c:e7:19,Debian 12,2,8,Management,staging,Noé Hernández Zaragoza
srv-finance-0370,10.166.190.14,e2:b4:1d:14:41:18,Windows Server 2012,4,2,Finance,development,Armando Francisco Gascón
srv-development-0371,10.105.107.169,b8:bb:00:9d:80:f0,Windows Server 2012,32,4,Development,production,Natividad Bejarano Alcalde
srv-hr-0372,10.60.49.224,e4:d0:a8:2d:8f:c7,Debian 12,2,16,HR,testing,Alejo Cózar Garay
srv-finance-0373,10.113.45.161,66:7b:cf:fb:d6:e1,Debian 12,4,8,Finance,testing,Josué Saura Teruel
srv-development-0374,10.88.168.155,08:3c:30:e1:30:cf,Windows Server 2016,4,8,Development,testing,América del Benavente
srv-it-0375,10.150.216.136,c8:75:d6:16:fc:fa,Windows Server 2019,8,8,IT,production,Alcides de Pérez
srv-security-0376,10.222.42.20,66:21:98:c8:77:fc,Ubuntu Server 22.04,16,4,Security,testing,Florina Luna Calleja
srv-development-0377,10.59.120.203,70:94:c3:a3:ae:e0,Debian 12,4,2,Development,production,Luis Cuesta
srv-hr-0378,10.219.6.214,28:5e:d9:ec:72:40,Windows Server 2016,4,16,HR,testing,Ildefonso Pablo Aroca Cantón
srv-operations-0379,10.18.94.43,be:04:15:64:70:18,Windows Server 2012,64,4,Operations,development,Sofía Malo Planas
srv-management-0380,10.147.101.172,22:67:08:72:23:f3,Windows Server 2022,4,2,Management,staging,Toribio Vallés Larrea
srv-it-0381,10.75.128.185,8c:89:55:29:6a:a0,Windows Server 2012,8,2,IT,development,Celso Pánfilo Galindo Tomas
srv-hr-0382,10.34.20.84,20:cb:0a:ec:55:59,Windows Server 2022,16,2,HR,development,Merche Piñeiro Pinto
srv-finance-0383,10.231.19.139,18:10:6b:86:e1:a0,Debian 12,8,16,Finance,staging,Guiomar del Mir
srv-management-0384,10.43.12.42,96:67:77:b7:21:91,Windows Server 2022,4,16,Management,testing,Plinio Sans Vera
srv-security-0385,10.61.17.231,58:20:25:f8:b1:cb,Windows Server 2022,16,8,Security,staging,Pancho Galvez
srv-finance-0386,10.133.114.211,6a:68:4e:c0:61:16,Rocky Linux 9,64,16,Finance,development,Roberto Villar Manrique
srv-development-0387,10.174.102.57,ce:64:e5:fa:5c:6a,Rocky Linux 9,4,8,Development,staging,Jose Antonio de Domingo
srv-it-0388,10.131.172.197,1c:08:f8:8c:86:51,Rocky Linux 9,64,4,IT,production,Ruth de Lobo
srv-development-0389,10.54.177.24,92:39:e5:78:1a:e8,Windows Server 2019,16,8,Development,staging,Wilfredo Aníbal Figuerola Llorens
srv-hr-0390,10.76.247.194,9e:1a:49:f3:e3:40,Rocky Linux 9,16,4,HR,testing,Chus Valero Poza
srv-finance-0391,10.192.119.24,2e:c8:eb:da:15:14,Windows Server 2016,2,8,Finance,testing,Alondra Nogueira
srv-operations-0392,10.251.236.22,ca:67:98:b3:08:85,Windows Server 2019,32,2,Operations,production,Ofelia Caballero Cortes
srv-operations-0393,10.140.77.146,98:02:0b:4c:bf:3f,Windows Server 2016,16,8,Operations,development,Godofredo Llopis Moreno
srv-security-0394,10.50.197.82,0e:8f:e3:2f:2e:c1,Windows Server 2022,64,16,Security,testing,Gabriel Torre
srv-finance-0395,10.120.5.132,cc:31:83:a4:6a:c5,Rocky Linux 9,32,2,Finance,staging,Iris Palmer Sastre
srv-operations-0396,10.199.44.239,5e:41:c1:f9:f3:5d,Ubuntu Server 22.04,2,16,Operations,development,Pascuala Aurora Franch Cortés
srv-hr-0397,10.206.46.23,bc:42:15:12:a6:d4,Ubuntu Server 22.04,64,8,HR,production,Horacio Blas Ferrera Pardo
srv-development-0398,10.211.254.151,2a:b3:0d:75:30:b6,Ubuntu Server 24.04,2,4,Development,development,Soledad del Estrada
srv-security-0399,10.146.38.64,7a:1e:26:12:bd:86,Windows Server 2022,4,4,Security,testing,Eloy Hernandez Baeza
srv-operations-0400,10.86.145.239,ee:70:f7:22:0b:cc,Debian 12,16,8,Operations,production,Ascensión Bello Fuente
srv-hr-0401,10.35.213.164,a4:83:68:ad:bb:b5,Windows Server 2012,4,8,HR,development,Fernando de Martin
srv-management-0402,10.170.211.88,30:55:a7:01:49:46,Ubuntu Server 22.04,4,2,Management,staging,Maximino Ruano Márquez
srv-security-0403,10.241.70.247,6a:7c:17:b9:38:ef,Windows Server 2016,8,8,Security,development,Adrián Arellano Delgado
srv-hr-0404,10.167.15.108,1e:f8:b1:55:70:51,Ubuntu Server 24.04,4,4,HR,production,Erasmo Cáceres-Sacristán
srv-management-0405,10.175.253.158,72:76:af:2b:32:04,Ubuntu Server 22.04,4,8,Management,development,Lorena Peláez-Cuadrado
srv-finance-0406,10.39.237.127,48:10:f7:32:18:c6,Ubuntu Server 24.04,4,2,Finance,testing,Hermenegildo Sobrino Pou
srv-finance-0407,10.24.67.64,3c:b5:e9:60:31:de,Windows Server 2016,4,16,Finance,production,Domingo Vera Barranco
srv-security-0408,10.198.114.230,9c:d4:31:db:48:8b,Windows Server 2019,4,8,Security,testing,Clímaco Pulido Iñiguez
srv-hr-0409,10.249.96.123,5e:c3:ff:5c:b1:90,Ubuntu Server 24.04,16,2,HR,production,Lidia Guillén
srv-it-0410,10.36.225.192,16:83:ca:ff:70:4e,Windows Server 2012,4,16,IT,production,Paulina Carvajal-Agustín
srv-security-0411,10.76.34.78,d8:c7:fd:85:43:9e,Ubuntu Server 22.04,16,16,Security,development,Ana Sofía Santana Amigó
srv-development-0412,10.151.195.98,12:1e:ea:96:43:2f,Debian 12,2,16,Development,testing,Jose Carlos Ros-Company
srv-management-0413,10.134.120.33,cc:dc:07:a6:95:0d,Windows Server 2012,32,16,Management,development,Ricarda Pagès Miró
srv-operations-0414,10.17.101.180,e4:0e:e1:62:84:77,Windows Server 2022,32,4,Operations,staging,Concha de Botella
srv-management-0415,10.51.26.149,b4:28:35:93:33:b6,Windows Server 2016,2,4,Management,production,Elpidio de Leiva
srv-operations-0416,10.40.215.46,ae:7a:6a:29:32:17,Windows Server 2016,8,16,Operations,testing,Agapito Aparicio-Alonso
srv-finance-0417,10.221.150.45,ea:2f:6b:66:8e:dd,Rocky Linux 9,64,2,Finance,staging,Simón Canales Cueto
srv-it-0418,10.24.177.254,28:5d:06:15:68:9a,Windows Server 2019,2,8,IT,development,Felix del Moraleda
srv-management-0419,10.243.215.179,fa:ef:0e:4a:ce:9f,Windows Server 2016,2,16,Management,testing,Maximiano Gallo Cobos
srv-development-0420,10.76.28.198,0e:a7:9b:23:08:45,Windows Server 2019,64,2,Development,development,Timoteo Porras Palomino
srv-hr-0421,10.83.19.138,a0:43:08:ef:2a:22,Ubuntu Server 22.04,64,16,HR,testing,Luisina Cuéllar Leon
srv-finance-0422,10.48.177.151,2c:a0:a6:f2:e7:3d,Rocky Linux 9,16,16,Finance,staging,Cleto Riba Ortiz
srv-operations-0423,10.81.223.161,f4:fb:d0:3d:c1:b2,Ubuntu Server 22.04,2,2,Operations,development,Viviana Paredes Diaz
srv-hr-0424,10.186.175.147,e6:b2:0d:69:d9:7d,Rocky Linux 9,2,16,HR,development,Toño Castell Torrecilla
srv-development-0425,10.66.63.108,3e:65:62:3b:13:57,Windows Server 2016,32,8,Development,development,Azahara Guerrero Chaves
srv-it-0426,10.89.138.121,88:b8:55:92:3b:53,Ubuntu Server 24.04,16,16,IT,staging,María José Valbuena
srv-management-0427,10.43.157.31,2e:e5:39:6d:0b:01,Ubuntu Server 24.04,16,8,Management,development,Silvio del Cabañas
srv-finance-0428,10.118.250.31,be:df:a2:52:c3:da,Debian 12,2,16,Finance,development,Florinda Casas-Alcalde
srv-operations-0429,10.101.139.2,26:c4:65:59:df:c3,Ubuntu Server 24.04,2,16,Operations,staging,Chelo Castelló Bernat
srv-hr-0430,10.167.85.94,f2:e5:7e:00:fc:06,Ubuntu Server 24.04,64,4,HR,production,Patricio Zaragoza Lluch
